Team,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Kraken,Capitals,Islanders,Wolfpack,Eagles,Eagles,Bluefish,Kraken,Kraken,Kraken,Kraken,Kraken,Kraken,Kraken,Kraken,Kraken
Panthers,Jackals,Wiffles,Wiffles,Panthers,Panthers,Panthers,Panthers,Panthers,Panthers,Panthers,Panthers,Panthers,Panthers,Panthers,Panthers
Lavahogs,Tornadoes,Warriors,Warriors,Manatees,Hotdoggers,Hogriders,Sea Thieves,Lavahogs,Lavahogs,,,,,,
Squirrels,Boulders,Ducks,Flying Squirrels,Flying Squirrels,,,,,,,,,,,
Royals,Bears,King Friday,King Friday,,,,,,,,,,,,
Sox,Sox,,,,,,,,,,,,,,
Aces,,Wicked Aces,Wicked Aces,Wicked Aces,Wicked Aces,,,,,,,,,,
Diablos,,El Diablos,El Diablos,,,,,,,,,,,,
Angels,,Angels,Angels,,,,,,,,,,,,
Mustangs,,,,Mustangs,Bulldogs,Mustangs,Mustangs,,,,,,,,
Braves,,,,,Dashers,Dashers,,,,,,,Braves,Braves,
The Process,,,,,,Wildcats,The Process,The Process,The Process,The Process,,,,,
Kings,,,,,,,Special K's,Special K's,Special K's,Special K's,,,,,Kings
PawSox,,,,,,,,PawSox,PawSox,,,,,,
Gladiators,,,,,,,,,,Gladiators,Gladiators,Gladiators,Gladiators,Gladiators,Gladiators
Dragons,,,,,,,,,,Dragons,Dragons,Dragons,,,
Shock,,,,,,,,,,,Shock,Shock,Shock,,Shock
Bananas,,,,,,,,,,,Bananas,Bananas,Bananas,,
Titans,,,,,,,,,,,,,,Titans,
Snapping Turtles,,,,,,,,,,,,,,Snapping Turtles,Snapping Turtles
