Awards,Winner,2026,Team,Notable Stats,Finalists (Top 3)
MVP,James Duffelmeyer,--------,Shock,,Duffy/Parker/Evan
CY Young,Parker Gibbons,--------,Kraken,,Parker/Evan/Peter
Rookie of the Year,Liam Rosengren,--------,Kraken,,Liam/Danny/Nate
Batting Title,Evan Wilkins,--------,Kings,,Evan/Duffy/Parker
Home Run King,James Duffelmeyer,--------,Shock,,Duffy/Parker/Evan
Comeback Player of the Year,Jake Meyler,--------,Snapping Turtles,,
Golden Hands,Victor Cottini,--------,Shock,,
Silver Slugger,James Duffelmeyer,--------,Shock,,Duffy/Parker/Evan
Reliever of the Year,Parker Gibbons,--------,Kraken,,
Manager of the Year,Parker Gibbons,--------,Kraken,,TJ/Parker/Peter
Game Of The Year,Shock @ Panthers Game 3,--------,SHK/PAN,,GLA V KRA GM2/ SHK V PAN GM3/ KRA V TUR GM 3/ KNG V SHK GM 2/ KNG V KRA GM 3
Sox Trophy,Brookside Kraken,--------,Kraken,Best Regular Season Record 11-4,
Postseason MVP,Marco Angarano,--------,Shock,,
Awards,Winner,2025,Team,Notable Stats,Finalists (Top 3)
MVP,Anthony Pasqua,--------,Titans,"18.0 IP, 48 K, 0.00 ERA, 8.00 Kper3, 6 W, 1.22 WHIP + (.400, .523, 1.171) Slash, 9 HR, 1.694 OPS","Anthony, TJ, Tommy"
CY Young,Anthony Pasqua,--------,Titans,"18.0 IP, 48 K, 0.00 ERA, 8.00 Kper3, 6 W, 1.22 WHIP","Anthony, Tj, Parker"
Rookie of the Year,Dennis Heffernan,--------,Snapping Turtles,".691 SLG, 14 Hits, 8 HR, 23 RBI + 14.66 IP, 20 K, 4.09 Kper3","Dennis, TomGian, Jake"
Batting Title,Tommy Peck,--------,Gladiators,Led League in Batting Average (.571),Tommy
Home Run King,Theo Canning,--------,Kraken,Led League in Home Runs (10),Theo
Comeback Player of the Year,TJ Ciafone,--------,Kraken,"28% Jump in OPS+, 119 OPS+, (.410,.538,.803) Slash Line, 1.342 OPS + 60% Jump in ERA+, 2.76 ERA","Tj, Aj, McDowell"
Golden Hands,Parker Gibbons,--------,Kraken,"Strong Defense, Putouts (37), Assists (16), 45 Innings, DP (3)","Parker, Peter, Dan"
Silver Slugger,Tommy Peck,--------,Gladiators,Led league in SLG (1.429) and OPS (2.168),"Tommy, Theo, Anthony"
Reliever of the Year,Peter Fraioli,--------,Panthers,Led League in Saves (1),"Peter, M Feola"
Manager of the Year,Austin Corvino,--------,Gladiators,5-10 campaign in 24' Austin made big additions flipping Glads record to 11-4 and postseason appearance,"Austin, Peter, Parker"
Game Of The Year,Panthers @ Gladiators Game 3,--------,PAN/GLA,"Traded Runs, Late heroic pitching, and a Walk-Off",Panthers Gladiators G3
Sox Trophy,Brookside Kraken,--------,Kraken,Best Regular Season Record 11-4 (via tiebreaker),Brookside Kraken
Postseason MVP,Peter Fraioli,--------,Panthers,"12.0 IP, 4 CG, 4 W, 25 K, 0.75 ERA, 345 ERA+, 1.17 WHIP + 1 HR, .550 OBP, 1.005 OPS, 117 OPS+","Peter, TJ, Daniel"
Awards,Winner,2024,Team,Notable Stats,Finalists (Top 3)
MVP,Evan Wilkins,--------,Kraken,"Led league in HR (7) + 16.0 IP, 27 K, 5 CG, 5-0 W-L Record, 0.75 ERA",Evan/Peter/Tommy
CY Young,Anthony Pasqua,--------,Shock,"20.0 IP, 58 K, 0.45 ERA, 8.70 Kper3",Pasqua/Evan/Peter/Parker
Rookie of the Year,Nick Sabino,--------,Shock,"(.455/.600/.909) Slash, 10 Hits, 3 HR, 1.509 OPS ",Sabino/Bahama/Gabie
Batting Title,Tommy Peck,--------,Gladiators,.571 AVG,Tommy
Home Run King,Evan Wilkins,--------,Kraken,7 HR,Evan
Comeback Player of the Year,Daniel Cochrane,--------,Panthers,"29.8% Jump in OPS+, 109.6 OPS+, (.300,.576,.650) Slash Line, 1.226 OPS",Daniel/Tucci/Vinny
Golden Hands,Victor Cottini,--------,Braves,"Strong Defense, Assists (12), 26 Innings",Victor/Parker/Tucc
Silver Slugger,Chris Canno,--------,Braves,Led league in SLG (1.125) and OPS (1.782),Tommy/Chris/Peter/Duffy/Evan
Reliever of the Year,Anthony Pasqua,--------,Shock,Led League in Saves (2),Pasqua
Manager of the Year,TJ Ciafone,--------,Shock,Rebuilt team in offseason leading to a Wild Card appearance,TJ/Peter/Vinny
Game Of The Year,Kraken @ Shock Game 2,--------,Kraken/Shock,"6 Inning Pitching Duel with Division Title on the line, ends in walk-off HR",Kraken v Shock
