Player,Team,Opponent,Field,Date,IP,BB,K,Score,Result,Notes,Box Score
Parker Gibbons,Kraken,Angels,Gleason Field,April 2013,3.0,0,8,2-0,Perfect Game,Ended on crazy peg at first,
Parker Gibbons,Kraken,Angels,Gleason Field,April 2013,3.0,1,7,2-0,No-Hitter,Back to back games with perfecto,
Peter Fraioli,Panthers,Aces,Brentwood Park,5/1/15,3.0,1,7,2-0,No-Hitter,"Ended on gb to Peter, AJ couldn't see",
Vinny Spoto,Dashers,Mustangs,Dat Boi Park,5/21/16,3.0,1,8,2-0,No-Hitter,Ended on looking K,
Evan Wilkins,Mustangs,Dashers,Dat Boi Park,5/29/16,3.0,1,8,8-0,No-Hitter,Vinny hit lefty for the final out,
Peter Fraioli,Panthers,Aces,The Claw,6/23/16,3.0,1,8,6-0,No-Hitter,AJ went down looking to end it,
Peter Fraioli,Panthers,Mustangs,Brookside Field,7/13/16,3.0,1,9,16-0,No-Hitter,Game mercy was waived off,
Evan Wilkins,The Process,Mustangs,Brookside Field,9/1/17,3.0,4,5,1-0,No-Hitter,Tiebreaker game for playoffs,
Parker Gibbons,Kraken,The Process,Brookside Field,7/22/18,3.0,0,8,1-0,Perfect Game,Ended on swinging K on 3-2,
Zach Lieberman,PawSox,Special K's,Brookside Field,9/3/20,3.0,4,9,3-0,No-Hitter,,
Zach Lieberman,PawSox,Special K's,Brookside Field,9/3/20,3.0,4,9,3-0,No-Hitter,Second of the day for Zach,
Jake Quigley,Special K's,Panthers,Brookside Field,9/28/20*,4.0,2,11,7-0,No-Hitter,"*North WC Game, 4 innings",
Vinny Spoto,Panthers,Kraken,Brookside Field,6/14/21,3.0,5,7,11-0,No-Hitter,Ended on looking K,
Peter Fraioli,Panthers,Gladiators,Brentwood Park,6/21/21,4.0,4,10,4-0,No-Hitter,"4 Innings, Peter called it",
Brandon Gibbons,Gladiators,Bananas,Brentwood Park,6/5/22,3.0,2,8,6-0,No-Hitter,Opening Day 2022,
Alex Homem,Kraken,Bananas,Brentwood Park,7/1/22,3.0,4,2,10-0,No-Hitter,,
Nick Lucas,Shock,Panthers,Downtown Metro,7/22/22,3.0,0,3,1-0,Perfect Game,Jake swung 3-0 to end it,
Justin Nardo,Bananas,Gladiators,Downtown Metro,6/1/23,3.0,1,5,12-0,No-Hitter,,
Parker Gibbons,Kraken,Bananas,Brentwood Park,6/19/23,3.0,3,6,2-0,No-Hitter,,
Peter Fraioli,Panthers,Shock,Downtown Metro,6/26/23,3.0,2,6,9-0,No-Hitter,,
Brandon Gibbons,Gladiators,Panthers,Brentwood Park,7/15/23,3.0,1,4,8-0,No-Hitter,In the rain!,
Justin Nardo,Bananas,Shock,Downtown Metro,7/18/23,5.0,2,11,1-0,No-Hitter,"5 Innings, playoff clinching win",
Justin Nardo,Bananas,Gladiators,Downtown Metro,8/6/23*,5.0,2,12,2-0,No-Hitter,"5 Innings, *WS Game 1",
Anthony Pasqua,Shock,Panthers,Brentwood Park,5/26/24,3.0,7,9,2-0,No-Hitter,"2024 first game played, Opening Day",
Vinny Spoto,Braves,Kraken,Downtown Metro,5/31/24,3.0,5,5,1-0,No-Hitter,First Braves game in franchise history,
Justin Nardo,Bananas,Gladiators,Silver Lake Park,6/4/24,3.0,2,7,14-0,No-Hitter,First game at Silver Lake Park,
Evan Wilkins,Kraken,Bananas,Brentwood Park,6/15/24,3.0,1,3,1-0,No-Hitter,Hit solo homer to seal win,
Peter Fraioli,Panthers,Braves,Downtown Metro,7/24/24,3.0,3,6,5-0,No-Hitter,Game one in series to win Brookside,
Anthony Pasqua,Shock,Kraken,Downtown Metro,7/28/24,6.0,8,18,1-0,No-Hitter,"6 innings, division crown on the line, 18 K",
Brandon McDowell,Gladiators,Snapping Turtles,Downtown Metro,5/29/25,3.0,7,5,4-0,No-Hitter,"Opening Day 2025, Gladiator Debut",
Anthony Pasqua,Titans,Snapping Turtles,Downtown Metro,7/4/25,3.0,3,9,11-0,No-Hitter,First no-hitter in Titans history,
Anthony Pasqua,Titans,Kraken,Downtown Metro,7/22/25,3.0,1,9,2-0,No-Hitter,Duffy hit walk-off 2-run HR to end it,
TJ Ciafone,Kraken,Panthers,Downtown Metro,8/23/25,3.0,5,4,5-0,No-Hitter,2025 WS Game 2 to force Game 3!,
Evan Wilkins,Kings,Panthers,Downtown Metro,6/7/26,3.0,3,8,1-0,No-Hitter,First 2026 and Kings no-hitter,
Parker Gibbons,Kraken,Kings,Downtown Metro,6/20/26,3.0,1,7,3-0,No-Hitter,Kraken playoff clinching series,
Marco Angarano,Shock,Kraken,Downtown Metro,8/22/26,4.0,7,10,1-0,No-Hitter,Brentwood Divisional Series clinching win,
Dan Brady,Gladiators,Panthers,Downtown Metro,8/23/26,3.0,4,4,1-0,No-Hitter,Brookside Divisional Series elimination game win,
Marco Angarano,Shock,Panthers,Downtown Metro,8/29/26,3.0,3,8,4-0,No-Hitter,World Series clinching win!,
,,,,,,,,,,,
* = Postseason,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Player,No-Hitters,Perfect Games,Total,,,,,,,,
Peter Fraioli,6,0,6,,,,,,,,
Parker Gibbons,3,2,5,,,,,,,,
Justin Nardo,4,0,4,,,,,,,,
Evan Wilkins,4,0,4,,,,,,,,
Anthony Pasqua,3,0,3,,,,,,,,
Vinny Spoto,3,0,3,,,,,,,,
Brandon Gibbons,2,0,2,,,,,,,,
Zach Lieberman,2,0,2,,,,,,,,
Nick Lucas,0,1,1,,,,,,,,
Jake Quigley,1,0,1,,,,,,,,
Alex Homem,1,0,1,,,,,,,,
Brandon McDowell,1,0,1,,,,,,,,
TJ Ciafone,1,0,1,,,,,,,,
